Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
www.onliner.by-1,10,9086,0,9767,528.88,0.000%,.94091,5253.47,83.45,5717385.7
/mobile-76,10,10740,0,11342,539.30,0.000%,.76196,5511.26,76.11,7406562.6
"/mobile/honor/honorh908256pb-1,628",10,11877,0,12854,651.74,0.000%,.64922,5013.40,90.28,7907471.0
"/-1,806",10,1791,0,2037,189.15,0.000%,1.71556,2185.23,19.19,1304342.0
"/order-1,865",10,1937,0,2234,175.96,0.000%,1.68407,2537.72,19.70,1543066.0
www.onliner.by-2,10,8278,0,9287,613.62,0.000%,.77634,4394.26,68.85,5796093.3
"/2023/09/16/obzor-samsung-galaxy-watch6-classic-2,498",10,6498,0,6934,362.01,0.000%,.84624,3715.56,40.73,4496048.5
"/smartwatch/xiaomi/xiaomismb8chbb-2,662",7,15635,0,19333,2395.48,42.857%,.30375,2352.21,32.89,7929647.0
TOTAL,77,7942,0,19333,4380.11,3.896%,1.09419,5512.24,80.02,5158665.2
